time,freemem@tsung_controller@ip-172-31-50-238 
0,674.71875 
10,673.859375 
20,670.1953125 
30,663.71875 
40,659.0546875 
50,657.234375 
60,653.0703125 
70,654.7578125 
80,647.90234375 
90,641.015625 
100,633.85546875 
110,616.12890625 
120,603.125 
130,588.359375 
140,577.0703125 
150,569.90625 
160,553.03125 
170,541.65625 
180,536.19921875 
190,532.94921875 
200,507.05078125 
210,493.83203125 
220,479.3984375 
230,433.0546875 
240,394.50390625 
250,396.5234375 
260,606.89453125 
270,653.55078125 
280,655.73046875 
290,656.22265625 
292,656.68359375 
