time,freemem@tsung_controller@ip-172-31-0-234 
0,7363.30859375 
10,7366.921875 
20,7366.41796875 
30,7366.2265625 
40,7364.8984375 
50,7362.4765625 
60,7362.21484375 
70,7357.8828125 
80,7357.40625 
90,7360.26171875 
100,7359.7421875 
110,7357.33984375 
120,7351.29296875 
130,7347.9765625 
140,7339.65625 
150,7333.140625 
160,7311.5078125 
170,7313.78515625 
180,7289.87109375 
190,7236.98046875 
200,7234.140625 
210,7213.9921875 
220,7126.671875 
230,7074.2734375 
240,7042.2265625 
250,6768.3046875 
260,6450.515625 
270,6079.78125 
280,5669.625 
290,5417.32421875 
300,5337.6015625 
310,5391.60546875 
320,6381.64453125 
330,7329.30859375 
340,7341.21484375 
350,7348.0 
